,Unnamed: 0,price
0,0,1299.0
1,1,3999.0
2,2,1499.0
3,3,398.0
4,4,1599.0
5,5,399.0
6,6,297.0
7,7,599.0
8,8,1599.0
9,9,749.0
10,10,799.0
11,11,
12,12,
13,13,449.0
14,14,499.0
15,15,399.0
16,16,199.0
17,17,599.0
18,18,1299.0
19,19,1599.0
20,20,549.0
21,21,199.0
22,22,999.0
23,23,599.0
24,24,399.0
25,25,199.0
26,26,299.0
27,27,499.0
28,28,999.0
29,29,1499.0
30,30,499.0
