,Unnamed: 0,price
0,0,299.0
1,1,1499.0
2,2,299.0
3,3,1999.0
4,4,399.0
5,5,599.0
6,6,1999.0
7,7,1499.0
8,8,399.0
9,9,399.0
10,10,1599.0
11,11,197.0
12,12,599.0
13,13,1299.0
14,14,1599.0
15,15,499.0
16,16,1999.0
17,17,1299.0
18,18,1199.0
19,19,1499.0
20,20,1599.0
21,21,329.0
22,22,351.0
23,23,899.0
24,24,349.0
25,25,195.0
26,26,579.0
27,27,1299.0
28,28,499.0
29,29,349.0
30,30,1599.0
31,31,449.0
32,32,399.0
33,33,1499.0
34,34,1199.0
35,35,599.0
36,36,399.0
37,37,599.0
38,38,349.0
39,39,449.0
40,40,599.0
41,41,1499.0
42,42,399.0
43,43,399.0
44,44,1199.0
